context,noise_source,noise_title,nominal_rate_s^-1,nbar,infidelity_value,infidelity_value_meaning,generator_frobenius_norm,H_sector_frobenius_norm,S_sector_frobenius_norm,C_sector_frobenius_norm,A_sector_frobenius_norm,taxonomy_reconstruction_residual_norm,taxonomy_reconstruction_residual_fraction,dominant_taxonomy_sector,dominant_taxonomy_mode,dominant_taxonomy_coefficient_per_gate,stochastic_matrix_min_eigenvalue_per_gate,stochastic_matrix_max_eigenvalue_per_gate,stochastic_matrix_negative_eigenvalue_abs_sum_per_gate
isolated_noise_response,photon_scattering,Photon scattering,4.0,0.01,0.0005595760430757047,infidelity_increment_vs_noise_free,0.0029968845688883522,1.1024416554869481e-07,0.002972581252497455,0.0003808907128789124,2.907880167721168e-07,3.052473968888156e-15,1.018549062775689e-12,S,IZ,0.00011335842869305956,-1.9459969476640312e-08,0.00015272145949087897,3.020972244869204e-08
isolated_noise_response,photon_scattering,Photon scattering,4.0,1.0,0.0005588424582746222,infidelity_increment_vs_noise_free,0.002982607378582496,9.317317117330949e-08,0.002956662016941335,0.0003925511861919397,2.3216628254808842e-07,1.644773975207332e-15,5.514550748509922e-13,S,ZI,9.834989647120813e-05,-8.257938194507781e-09,0.0001342195190564576,1.3215849918131517e-08
isolated_noise_response,photon_scattering,Photon scattering,4.0,2.0,0.00055762216802826,infidelity_increment_vs_noise_free,0.0029823301197682535,2.718324425310467e-07,0.002953931239371647,0.00041058848514209575,4.708507821369245e-07,5.430014262595451e-16,1.820728773988776e-13,S,XY,9.428166612470635e-05,-1.0489953815355622e-08,0.00013138967738744438,1.8615431928479182e-08
isolated_noise_response,photon_scattering,Photon scattering,4.0,3.0,0.0005559972370092758,infidelity_increment_vs_noise_free,0.002983908141929659,3.4172434082056956e-07,0.002952891091573406,0.0004291172838629248,5.172391045377853e-07,1.994627027256813e-15,6.684612703817722e-13,S,ZI,9.224902473367937e-05,-2.0092054867510895e-08,0.0001310173992263717,3.29072495187999e-08
isolated_noise_response,photon_scattering,Photon scattering,4.0,4.0,0.0005539754422015254,infidelity_increment_vs_noise_free,0.002986013243742953,2.2450099799319086e-07,0.002952305316526633,0.00044740150232333895,5.078104508786233e-07,4.33999515604378e-15,1.4534413620361634e-12,S,IZ,9.097635204676852e-05,-2.858595703694003e-08,0.00013136424359427116,4.556883179381324e-08
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,0.01,0.0002665148011938179,infidelity_increment_vs_noise_free,0.0014446139576511968,1.169700755176913e-07,0.0014311542460768898,0.00019674076958911996,2.7599764684136907e-07,1.6296871646372115e-15,1.1281125701477549e-12,S,IZ,6.1125211512975e-05,-1.1031589684659284e-08,8.191850772804443e-05,2.2742399224801427e-08
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,1.0,0.0002661674414370374,infidelity_increment_vs_noise_free,0.0014331864068157418,1.1516021149602118e-07,0.001418981599535454,0.00020128184873033548,3.3677600768077414e-07,1.5489382144385632e-15,1.0807653540895626e-12,S,IZ,5.202741595153157e-05,-6.380265965706201e-09,7.053162538187394e-05,1.3822687609227589e-08
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,2.0,0.00026558237886913343,infidelity_increment_vs_noise_free,0.0014324075292731016,1.0487850404249919e-07,0.0014168764141183508,0.00021036232304895723,5.13084867200777e-07,5.082495179525564e-16,3.548218698700054e-13,S,XY,4.95656944286384e-05,-7.215340573511199e-09,6.865134079398237e-05,1.4646910108216746e-08
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,3.0,0.0002647996345997326,infidelity_increment_vs_noise_free,0.0014330040455925643,2.1127410503682801e-07,0.0014160106999780407,0.00022003171928311433,5.824729729440665e-07,1.862602816693637e-15,1.2997889450643026e-12,S,ZI,4.833868116200325e-05,-1.2526055997945573e-08,6.828730707599139e-05,3.287123900857394e-08
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,4.0,0.0002638200278478383,infidelity_increment_vs_noise_free,0.0014339367208777813,4.1388958260072204e-07,0.0014154477320067118,0.00022952259337579827,1.347708307367465e-06,1.5415368147933729e-15,1.0750382442606843e-12,S,ZI,4.760877864689127e-05,-4.2921894272594636e-08,6.835755367540958e-05,7.735303603139542e-08
noise_free_channel,none,All explicit noise zero,0.0,0.01,0.00024880761389347585,average_infidelity,0.0777107783616453,0.07770701457634366,0.0005956114446170252,0.0004797886230573166,1.4302560931847574e-07,1.6619166829355206e-15,2.1385922493291757e-14,H,XX,0.013736789238169152,-1.9125670299125385e-12,0.00011994511949930755,4.064998685622096e-12
noise_free_channel,none,All explicit noise zero,0.0,1.0,0.0013019174591467398,average_infidelity,0.16318878830383704,0.163138856305042,0.0038042939884812194,0.001349639513215445,1.5587598261372233e-07,1.307956276341713e-15,8.01498859043222e-15,H,XX,0.028839147892071412,-1.0546528262609146e-11,0.00046003865588870225,3.544745745196384e-11
noise_free_channel,none,All explicit noise zero,0.0,2.0,0.003025951592498366,average_infidelity,0.24809265949800788,0.24790814073072023,0.009322887608656145,0.002145975590341259,4.1045751296111824e-07,7.173042945664947e-16,2.8912757677631102e-15,H,XX,0.04382438185547371,-6.556149914093628e-11,0.0013355179045904909,1.6516508515102913e-10
noise_free_channel,none,All explicit noise zero,0.0,3.0,0.0053504706610728375,average_infidelity,0.33153064222467904,0.3310888944039675,0.016869844071173014,0.0028493875357657626,3.10701652765333e-07,1.1780387684764938e-15,3.553332990795265e-15,H,XX,0.058528800602147234,-9.753176616297828e-11,0.0025831222961821563,2.497606896445849e-10
noise_free_channel,none,All explicit noise zero,0.0,4.0,0.008221502743438514,average_infidelity,0.41346761925796294,0.41261835149375214,0.026256567809204785,0.0034872363523448533,2.5234774507346103e-07,2.926926983347868e-15,7.078975104751201e-15,H,XX,0.07294130859580927,-8.557311197503656e-11,0.0041644786797066895,2.3987521305300537e-10
