context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,basis_element_count,coefficient_l1_norm,coefficient_l2_norm,coefficient_max_abs,dominant_mode,dominant_coefficient_per_gate,sector_matrix_frobenius_norm
isolated_noise_response,photon_scattering,Photon scattering,4.0,0.01,S,15,0.0007000110414929785,0.00024961109331336567,0.00011335842869305956,IZ,0.00011335842869305956,0.002972581252497455
isolated_noise_response,photon_scattering,Photon scattering,4.0,1.0,A,105,2.437938726399977e-07,3.792221389313539e-08,1.1511976178168133e-08,"XZ,ZZ",1.1511976178168133e-08,2.3216628254808842e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,1.0,C,105,0.0001388983992197799,6.939390064530332e-05,3.5871548885902254e-05,"YX,ZI",3.5871548885902254e-05,0.0003925511861919397
isolated_noise_response,photon_scattering,Photon scattering,4.0,1.0,H,15,4.283041071411851e-08,1.647084529032552e-08,1.2738346980969902e-08,XX,1.2738346980969902e-08,9.317317117330949e-08
isolated_noise_response,photon_scattering,Photon scattering,4.0,1.0,S,15,0.0006999943779671809,0.000237481016864793,9.834989647120813e-05,ZI,9.834989647120813e-05,0.002956662016941335
isolated_noise_response,photon_scattering,Photon scattering,4.0,2.0,A,105,4.977453853666884e-07,7.571760740945273e-08,3.310535150439505e-08,"IZ,XZ",3.310535150439505e-08,4.708507821369245e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,2.0,C,105,0.00014551580015544047,7.258247243510162e-05,3.710755632990811e-05,"YX,ZI",3.710755632990811e-05,0.00041058848514209575
isolated_noise_response,photon_scattering,Photon scattering,4.0,2.0,H,15,1.229374555363552e-07,4.80536408650514e-08,3.880774206242366e-08,XX,3.880774206242366e-08,2.718324425310467e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,2.0,S,15,0.0006999788184797678,0.00023539247247777854,9.428166612470635e-05,XY,9.428166612470635e-05,0.002953931239371647
isolated_noise_response,photon_scattering,Photon scattering,4.0,3.0,A,105,6.050080044934486e-07,8.80943348713837e-08,3.1732129267641474e-08,"XY,ZY",-3.1732129267641474e-08,5.172391045377853e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,3.0,C,105,0.00015226693364530866,7.585792987959883e-05,3.877043996760794e-05,"YX,ZI",3.877043996760794e-05,0.0004291172838629248
isolated_noise_response,photon_scattering,Photon scattering,4.0,3.0,H,15,1.3171916270144796e-07,6.040889967268192e-08,5.460680378190425e-08,XX,5.460680378190425e-08,3.4172434082056956e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,3.0,S,15,0.000699988481610772,0.000234564091576469,9.224902473367937e-05,ZI,9.224902473367937e-05,0.002952891091573406
isolated_noise_response,photon_scattering,Photon scattering,4.0,4.0,A,105,7.134447885611319e-07,8.801246959469178e-08,2.287722042384833e-08,"XX,ZZ",2.287722042384833e-08,5.078104508786233e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,4.0,C,105,0.00015878223695016682,7.909014900169064e-05,4.0375527773341115e-05,"IZ,XY",4.0375527773341115e-05,0.00044740150232333895
isolated_noise_response,photon_scattering,Photon scattering,4.0,4.0,H,15,1.2280118101930829e-07,3.9686544516033194e-08,2.2877331062315886e-08,YY,2.2877331062315886e-08,2.2450099799319086e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,4.0,S,15,0.0007000293667833864,0.00023411950061931025,9.097635204676852e-05,IZ,9.097635204676852e-05,0.002952305316526633
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,0.01,A,105,3.16580537762061e-07,4.466332740114165e-08,1.2620649756364413e-08,"YX,YZ",-1.2620649756364413e-08,2.7599764684136907e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,0.01,C,105,6.81749241708667e-05,3.477917909623093e-05,2.078920145978657e-05,"IZ,XY",2.078920145978657e-05,0.00019674076958911996
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,0.01,H,15,5.987904772632239e-08,2.0677583398615526e-08,1.2556680014803413e-08,YY,1.2556680014803413e-08,1.169700755176913e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,0.01,S,15,0.00033333172449824696,0.00013006026181409006,6.1125211512975e-05,IZ,6.1125211512975e-05,0.0014311542460768898
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,1.0,A,105,4.1731314782914266e-07,5.743530552071632e-08,1.510379187066415e-08,"XZ,ZZ",1.510379187066415e-08,3.3677600768077414e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,1.0,C,105,7.145418548199497e-05,3.558193645993064e-05,1.850387795947986e-05,"IZ,XY",1.850387795947986e-05,0.00020128184873033548
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,1.0,H,15,6.619319513143884e-08,2.0357641617928396e-08,8.234272017336892e-09,YZ,8.234272017336892e-09,1.1516021149602118e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,1.0,S,15,0.0003333197292870003,0.00012142834360909868,5.202741595153157e-05,IZ,5.202741595153157e-05,0.001418981599535454
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,2.0,A,105,5.166929325168303e-07,8.587505268520706e-08,3.613721303259944e-08,"YI,YX",3.613721303259944e-08,5.13084867200777e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,2.0,C,105,7.469651426144859e-05,3.7187146660152354e-05,1.9094806741491194e-05,"YX,ZI",1.9094806741491194e-05,0.00021036232304895723
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,2.0,H,15,5.4305349859412953e-08,1.854007535228798e-08,9.789119505832397e-09,YY,9.789119505832397e-09,1.0487850404249919e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,2.0,S,15,0.00033330267589718403,0.00011991872057807086,4.95656944286384e-05,XY,4.95656944286384e-05,0.0014168764141183508
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,3.0,A,105,6.599306298490786e-07,9.875702316238796e-08,3.717383892659495e-08,"ZX,ZZ",3.717383892659495e-08,5.824729729440665e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,3.0,C,105,7.85218522034257e-05,3.889646186208644e-05,1.9957581676137072e-05,"IZ,XY",1.9957581676137072e-05,0.00022003171928311433
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,3.0,H,15,9.82603246680306e-08,3.7348338090165016e-08,2.8931660088495377e-08,XX,2.8931660088495377e-08,2.1127410503682801e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,3.0,S,15,0.00033330079660951015,0.00011931574710398941,4.833868116200325e-05,ZI,4.833868116200325e-05,0.0014160106999780407
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,4.0,A,105,1.6286052488627792e-06,2.099125233501879e-07,5.679569339570212e-08,"XY,YY",5.679569339570212e-08,1.347708307367465e-06
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,4.0,C,105,8.251893740061649e-05,4.057416064284193e-05,2.0798067961567617e-05,"YX,ZI",2.0798067961567617e-05,0.00022952259337579827
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,4.0,H,15,2.0252609867544219e-07,7.316603262986007e-08,4.533205402284493e-08,YX,4.533205402284493e-08,4.1388958260072204e-07
isolated_noise_response,spin_dephasing,Spin dephasing,3.3333333333333335,4.0,S,15,0.0003333644009719519,0.00011898775023360024,4.760877864689127e-05,ZI,4.760877864689127e-05,0.0014154477320067118
noise_free_channel,none,All explicit noise zero,0.0,0.01,A,105,1.4934411628494748e-07,2.067774616746599e-08,8.004719128321522e-09,"IX,XI",-8.004719128321522e-09,1.4302560931847574e-07
noise_free_channel,none,All explicit noise zero,0.0,0.01,C,105,6.0137119667327266e-05,5.997229813853645e-05,5.997229477338929e-05,"IX,XI",5.997229477338929e-05,0.0004797886230573166
noise_free_channel,none,All explicit noise zero,0.0,0.01,H,15,0.013736820035201205,0.013736789238173626,0.013736789238169152,XX,0.013736789238169152,0.07770701457634366
noise_free_channel,none,All explicit noise zero,0.0,0.01,S,15,0.00012236382182706835,8.48478471606511e-05,5.9973929743621376e-05,IX,5.9973929743621376e-05,0.0005956114446170252
noise_free_channel,none,All explicit noise zero,0.0,1.0,A,105,1.5424955039859267e-07,2.5800786497793423e-08,1.4258712963766372e-08,"IX,XX",1.4258712963766372e-08,1.5587598261372233e-07
noise_free_channel,none,All explicit noise zero,0.0,1.0,C,105,0.00016881150618167364,0.0001687047829397042,0.00016870478222498397,"IX,XI",0.00016870478222498397,0.001349639513215445
noise_free_channel,none,All explicit noise zero,0.0,1.0,H,15,0.028839191720779832,0.028839147892078226,0.028839147892071412,XX,0.028839147892071412,0.163138856305042
noise_free_channel,none,All explicit noise zero,0.0,1.0,S,15,0.000797484827585475,0.0005182265399375177,0.0004600386557405552,XX,0.0004600386557405552,0.0038042939884812194
noise_free_channel,none,All explicit noise zero,0.0,2.0,A,105,2.9139145759403406e-07,6.582689916951939e-08,4.4819357530195155e-08,"XI,XX",4.4819357530195155e-08,4.1045751296111824e-07
noise_free_channel,none,All explicit noise zero,0.0,2.0,C,105,0.00026842201913239287,0.00026824672449287583,0.00026824672294894667,"IX,XI",0.00026824672294894667,0.002145975590341259
noise_free_channel,none,All explicit noise zero,0.0,2.0,H,15,0.04382449089290896,0.043824381855510304,0.04382438185547371,XX,0.04382438185547371,0.24790814073072023
noise_free_channel,none,All explicit noise zero,0.0,2.0,S,15,0.001872096021996917,0.0013883519257200103,0.0013355179044047105,XX,0.0013355179044047105,0.009322887608656145
noise_free_channel,none,All explicit noise zero,0.0,3.0,A,105,3.18904540957659e-07,5.0204745045669184e-08,2.4840078062133947e-08,"XX,XZ",-2.4840078062133947e-08,3.10701652765333e-07
noise_free_channel,none,All explicit noise zero,0.0,3.0,C,105,0.00035650319041379187,0.0003561707263691352,0.0003561707235889984,"IX,XI",0.0003561707235889984,0.0028493875357657626
noise_free_channel,none,All explicit noise zero,0.0,3.0,H,15,0.05852885322247543,0.05852880060215053,0.058528800602147234,XX,0.058528800602147234,0.3310888944039675
noise_free_channel,none,All explicit noise zero,0.0,3.0,S,15,0.0032955636417492527,0.002631774633167915,0.002583122296125539,XX,0.002583122296125539,0.016869844071173014
noise_free_channel,none,All explicit noise zero,0.0,4.0,A,105,2.6813749853613236e-07,3.934125121912337e-08,1.7816156655226167e-08,"XX,YX",-1.7816156655226167e-08,2.5234774507346103e-07
noise_free_channel,none,All explicit noise zero,0.0,4.0,C,105,0.0004361857858111333,0.0004359038200028049,0.0004359038184705971,"IX,XI",0.0004359038184705971,0.0034872363523448533
noise_free_channel,none,All explicit noise zero,0.0,4.0,H,15,0.07294136385460967,0.07294130859581166,0.07294130859580927,XX,0.07294130859580927,0.41261835149375214
noise_free_channel,none,All explicit noise zero,0.0,4.0,S,15,0.005036372934542152,0.004209858338967218,0.004164478679593888,XX,0.004164478679593888,0.026256567809204785
